density,pH,Label
0.99571,3.13,3
0.9959,3.17,2
0.99132,3.1,4
0.99109,3.02,3
0.9972,3.34,2
0.99299,3.29,4
0.99687,3.11,2
0.99021,3.26,3
0.9912,3.32,5
0.99286,3.14,2
0.99568,3.23,2
0.995,3.22,1
0.9986,3.2,2
0.99767,3.19,3
0.9923,3.03,2
0.99112,3.28,3
0.996,3.6,2
0.99586,3.11,3
0.9922,3.51,4
0.9948,3.19,3
0.9978,3.58,2
0.9947,3.23,4
0.99066,2.99,4
0.99524,3.23,4
1.0014,3.32,2
0.99636,3.26,2
0.99523,3.27,4
0.9909,3.33,4
0.9976,3.34,2
0.99419,3.24,5
0.99837,2.97,3
0.99238,2.94,4
0.9952,3.2,2
0.99321,3.34,3
1.0004,3.06,2
0.9943,3.15,2
0.9976,3.35,3
0.992,3.27,2
0.9963,3.23,4
0.9948,3.27,3
0.9934,3.27,4
0.99282,3.21,3
0.9953,2.96,4
0.9966,3.46,3
0.99698,3.25,3
0.99076,3.43,3
0.98984,3.51,4
0.99474,3.68,3
0.99754,3.21,3
0.99334,2.92,4
0.9958,3.3,3
0.9978,3.4,2
0.9986,3.54,2
0.98904,3.46,5
0.99451,2.98,5
0.9955,3.1,2
0.9896,3.07,4
0.9993,3.07,3
0.9982,3.23,3
0.9965,3.65,1
0.9906,3.14,2
0.99975,3.24,2
0.9935,3.25,5
0.9931,3.14,5
0.99642,3.47,3
0.9941,3.46,4
0.99526,3.22,2
0.99784,3.15,2
0.9969,3.37,2
0.99558,3.16,2
0.9934,3.24,2
0.9895,3.17,4
0.99659,3.26,3
0.9984,3.44,3
0.99706,3.41,2
0.9984,3.06,3
0.99708,3.23,3
0.99134,3.2,4
0.9987,3.41,2
0.9924,3.28,1
0.9936,3.18,3
0.9919,3.22,3
0.9998,3.45,2
0.99184,3.28,4
0.9999,3.22,2
0.99199,3.7,4
0.9955,3.19,3
0.99,3.19,5
0.99116,3.27,4
1.0006,3.1,3
0.99523,3.19,3
0.996,3.18,3
0.9942,3.02,3
0.99678,3.28,4
0.9901,3.03,3
1.00013,2.96,2
1.0008,2.86,3
0.99126,3.06,4
0.9917,3.23,3
0.99495,3.18,3
0.99138,3.04,3
0.9947,3.37,3
0.99364,3.16,3
0.99495,3.18,4
0.99064,3.26,4
0.99022,3.11,2
0.9972,3.21,3
0.99304,3.13,2
0.9982,3.4,3
0.9955,3.43,2
0.9939,3.16,2
0.9944,3.02,5
0.9929,3.08,2
0.99709,2.94,2
0.99218,3.04,3
0.9979,3.03,2
0.9939,3.32,3
0.9927,3.12,4
0.9981,3.23,3
0.99906,3.08,3
0.9927,3.07,5
0.9984,2.9,4
0.9941,3.29,2
0.99267,3.26,3
1.0,3.0,3
0.99256,3.3,3
0.99473,3.34,3
0.99772,2.99,3
0.99605,3.52,2
0.9896,3.44,3
0.99114,3.31,4
0.9956,3.3,2
0.9972,3.4,3
0.9914,3.31,3
0.9927,3.25,3
0.99555,3.1,2
0.99558,3.14,3
0.9968,3.23,0
0.9944,3.2,3
0.99904,3.06,2
0.9914,3.31,3
0.99146,3.3,4
0.99258,4.01,3
0.99144,3.08,3
0.9956,3.37,1
0.9908,3.08,4
0.994,3.39,2
0.99112,3.28,3
0.99098,3.01,1
0.9988,2.96,2
0.99699,3.11,2
0.98939,3.24,4
0.9968,3.2,2
0.99268,3.42,1
0.98959,3.26,3
0.9982,3.02,2
0.9954,3.49,4
1.0004,3.34,3
0.98993,3.5,2
0.99068,3.19,4
0.99391,3.11,2
0.9968,3.4,3
0.99,3.13,5
0.99378,3.24,3
0.9914,3.27,3
0.995,3.35,2
0.9975,3.42,3
0.9967,3.32,1
0.99627,3.54,3
0.9951,3.02,3
0.9956,3.37,3
0.99268,3.53,3
0.9954,3.04,3
0.99166,3.2,2
0.99,3.05,3
0.98975,3.21,3
0.9964,3.0,2
0.99706,3.15,4
0.9942,2.96,2
1.00051,3.05,3
0.9952,3.29,3
0.99946,3.34,3
0.99752,3.06,3
0.9994,3.1,3
0.99398,2.86,2
0.9969,3.25,2
0.99334,2.99,3
0.9928,3.15,3
0.996,3.1,3
0.993,3.13,5
0.99735,3.36,2
0.99426,3.31,4
0.99858,3.18,2
0.991,3.3,3
0.98946,3.16,5
0.9972,3.02,2
0.9927,3.2,2
0.99518,3.2,3
0.99712,3.4,2
0.9956,3.19,3
0.993,3.02,5
0.9935,3.11,2
0.9895,3.31,4
0.99624,3.36,2
0.98948,3.19,3
0.99408,3.26,4
0.9994,3.1,3
0.99666,2.88,3
0.994,3.37,3
0.9932,3.36,2
1.0003,3.26,3
0.9968,3.18,2
0.9952,3.3,3
0.9956,3.55,4
0.997,3.02,2
0.99623,3.0,2
0.994,3.63,1
0.997,3.09,2
0.99638,3.18,3
0.99532,3.34,2
0.99162,3.15,4
0.9903,3.3,4
0.9986,3.04,4
0.99094,3.03,3
0.99164,3.23,3
0.99536,3.06,1
0.98987,3.08,4
0.98906,3.25,4
0.99734,3.28,3
0.9938,3.08,2
0.9977,3.33,2
0.99175,3.21,5
0.9944,2.93,2
0.9927,3.21,2
0.9984,2.9,4
0.997,3.46,2
0.9978,3.51,2
0.9984,3.37,4
0.9999,3.08,2
0.9974,3.21,3
0.99524,3.33,4
0.99954,3.3,2
0.9958,2.85,2
0.99382,3.08,3
1.0,3.15,4
0.9953,3.18,3
0.9948,3.12,4
0.9918,3.43,3
0.9902,3.04,3
0.993,3.12,3
0.99576,3.11,2
0.9956,3.29,3
0.99568,3.2,3
0.9927,3.19,2
0.9956,3.4,3
0.99069,3.15,2
0.9917,3.23,3
0.99222,3.06,3
0.9901,3.0,4
0.9974,3.14,3
0.99362,3.06,3
0.9922,3.02,3
0.9973,3.42,2
0.99189,3.18,4
0.9944,3.36,4
0.9933,3.25,2
0.99546,3.15,3
1.001,3.17,3
0.99178,3.05,2
0.99013,3.29,3
0.99067,3.06,4
0.99173,3.07,3
0.9991,3.14,2
0.9915,3.31,0
0.99743,3.53,2
0.9946,3.16,3
0.9902,3.06,3
0.99689,3.58,2
0.99383,3.09,2
0.9912,3.4,4
0.99364,3.18,3
0.9966,3.25,3
0.98898,2.97,3
0.9927,3.05,3
0.9964,3.41,3
0.99672,3.35,2
0.9966,3.06,3
0.9951,3.15,3
0.9948,3.51,1
0.9948,3.52,2
0.99772,3.15,2
0.99561,2.86,2
0.9924,3.06,2
0.9946,3.31,1
0.98958,3.2,4
0.9986,3.17,2
1.0,3.24,5
0.9941,3.12,3
0.9971,3.18,2
0.9984,3.19,3
0.99165,3.26,4
0.98867,3.09,4
0.998,3.27,2
0.99243,3.28,2
0.99502,3.32,3
0.99293,3.28,2
0.99773,3.3,2
0.99666,3.09,2
0.9972,3.17,3
0.99478,3.12,3
0.9944,3.01,5
0.99782,3.07,3
0.99824,3.34,2
0.9966,3.25,2
0.99729,3.16,2
0.99556,3.19,3
0.99341,3.32,2
0.9925,3.11,4
0.99528,3.32,4
0.9935,3.04,3
0.995,3.35,2
0.99922,3.25,2
0.9923,2.94,4
0.9978,3.15,4
0.9934,3.54,3
1.0,3.3,2
0.9955,3.08,3
0.9932,3.21,3
0.99438,3.26,3
0.9952,3.3,3
0.98956,3.45,4
0.99677,3.29,3
0.99738,3.14,2
0.99143,3.23,4
0.99918,3.15,2
0.99212,3.16,3
0.99111,3.07,3
0.992,3.01,2
0.9956,3.31,2
0.99283,3.12,3
0.9954,3.45,3
0.99397,3.21,3
0.9898,3.16,4
0.99082,3.02,3
0.999,3.14,5
0.9927,3.12,3
0.99516,3.18,2
0.9969,3.22,2
0.99221,3.36,4
0.9913,3.05,4
0.9949,3.37,3
0.9913,3.01,3
0.99224,3.22,2
0.99,3.24,3
0.99138,3.24,2
0.99381,3.13,4
0.99674,3.12,3
0.99711,3.31,3
0.9993,3.18,2
0.9959,3.3,2
0.9926,3.13,3
0.9949,3.34,2
0.99798,3.38,1
0.99256,3.39,4
0.99397,2.98,2
0.9938,2.9,2
0.9998,3.42,4
0.9986,3.23,3
0.99339,3.24,3
0.9996,3.22,2
0.99428,3.23,3
0.997,3.15,2
0.99376,3.56,3
0.98912,3.29,4
0.99604,2.96,3
0.9948,3.27,3
0.9952,3.06,3
0.9953,3.13,4
0.98985,3.2,3
0.9944,3.14,3
0.9972,2.93,2
0.99975,3.12,4
0.9949,3.6,3
1.0022,3.07,4
0.9986,3.03,1
0.9961,3.33,2
0.99685,3.42,3
0.9988,2.94,3
0.9949,3.34,2
0.99792,2.96,4
0.9992,3.07,3
0.991,3.25,3
0.9942,3.27,3
0.9926,3.07,2
0.99159,3.31,4
0.99474,3.36,3
0.9998,3.37,3
0.9931,3.46,4
0.9969,3.12,3
0.99368,3.22,3
0.9924,3.41,4
0.9994,3.34,3
0.991,2.99,5
0.9955,3.04,3
0.9967,3.2,3
1.0001,3.3,2
0.9969,3.26,2
0.99745,3.08,2
0.9938,3.06,2
0.9991,3.39,2
0.99727,3.31,3
0.99548,3.16,1
0.9964,3.26,2
1.0,3.06,4
0.9932,3.3,4
0.9942,3.07,2
0.99215,3.02,3
0.99185,3.37,4
0.99587,3.12,2
0.99166,3.1,2
0.9956,3.42,3
0.99089,3.15,4
0.99528,3.08,3
0.99026,3.08,4
0.9996,3.38,3
0.9968,3.09,4
0.9974,3.26,2
0.99251,3.3,3
0.9951,3.29,3
0.99551,3.18,2
0.99794,3.31,2
0.9942,3.72,2
0.99615,3.46,4
0.996,3.23,2
0.9924,3.25,3
0.9976,3.09,2
0.99458,3.15,4
0.99002,3.0,3
0.9942,3.05,2
0.9967,3.37,3
0.99884,3.26,3
0.99678,3.28,4
0.9933,3.1,4
0.99271,3.27,3
0.9917,3.19,3
0.9986,3.48,3
0.99057,3.2,3
0.9948,3.59,3
0.99518,3.16,3
0.99542,3.19,3
0.99182,3.24,3
0.99571,3.05,2
0.99608,3.39,2
0.9978,3.22,3
0.99307,3.61,3
0.99084,3.03,2
0.99693,3.1,3
0.99514,3.14,2
0.99655,3.34,3
0.992,3.14,2
0.989,3.57,5
0.9977,3.29,2
0.9975,3.12,3
0.9997,3.46,2
0.995,3.28,3
0.99788,3.04,3
0.99654,3.16,2
0.99043,3.03,3
0.99076,3.13,3
0.99636,3.53,2
0.9966,3.63,0
0.98918,3.16,3
0.9984,3.01,4
0.98956,3.45,4
0.9937,3.63,2
0.9983,3.39,2
0.9934,3.26,2
0.9942,3.36,2
0.99184,3.25,2
0.99458,3.32,4
0.999,3.37,2
0.9934,3.41,3
0.9928,3.12,3
0.99258,3.56,2
0.9984,3.15,2
0.99052,3.25,2
0.9928,3.36,4
0.9986,3.1,3
0.9938,3.11,2
0.9948,3.29,3
0.99778,2.95,2
0.9927,3.01,3
0.998,3.34,3
0.992,3.03,4
0.9942,3.26,5
0.9986,3.14,4
0.9898,3.33,3
0.99178,3.1,3
0.9955,3.16,2
0.99316,3.38,3
0.99699,3.05,2
0.9899,3.16,3
0.99804,3.14,2
0.99558,3.14,2
0.9916,3.37,0
0.994,3.14,3
0.9994,3.18,3
0.9997,3.16,3
0.99727,3.19,2
0.9939,3.03,2
0.9916,3.07,4
0.9941,3.28,2
0.9962,3.3,2
0.9953,3.63,3
0.99711,2.98,2
0.99602,3.12,3
0.99452,3.53,1
0.99114,3.27,3
0.99362,3.06,3
0.992,3.18,2
0.9917,3.13,2
0.99738,3.25,2
0.99754,3.08,2
0.99458,3.16,3
0.99209,3.19,3
0.9986,3.14,4
0.99244,3.24,2
0.9974,3.04,3
0.9983,3.03,3
0.99216,3.29,2
0.9996,3.28,3
0.99439,3.02,3
0.9933,3.13,3
0.9997,3.5,2
0.99675,3.37,3
0.9983,3.52,3
0.9954,3.11,2
0.998,3.3,3
0.9981,3.13,3
0.99243,3.28,2
0.99746,3.55,2
0.9916,2.93,4
0.99022,3.24,3
0.99235,3.38,4
0.9896,3.1,3
0.9955,3.3,3
0.99748,3.51,2
0.99007,2.89,3
0.99474,3.36,3
0.99326,3.08,3
0.99402,3.15,2
0.9937,3.19,3
0.9918,3.06,3
0.9972,3.33,2
0.99582,3.21,3
0.99588,3.08,3
0.99727,3.19,2
0.99085,3.25,5
0.99516,3.26,4
0.992,3.21,3
0.99822,3.08,2
0.99526,3.24,4
0.9948,3.39,3
0.9967,3.23,2
0.99516,3.26,4
0.99418,3.06,2
0.99272,2.83,1
0.99304,3.1,1
0.99689,3.59,2
0.99828,3.15,3
0.99587,3.31,3
0.9946,3.13,2
